iter	Passed	Remaining
740	51518	18006
741	51593	17939
742	51646	17864
743	51710	17792
744	51766	17718
745	51827	17646
746	51881	17571
747	51947	17501
748	52024	17434
749	52084	17361
750	52139	17287
751	52193	17212
752	52247	17138
753	52300	17063
754	52353	16988
755	52414	16916
756	52490	16849
757	52551	16777
758	52602	16702
759	52657	16628
760	52715	16555
761	52767	16481
762	52821	16407
763	52874	16332
764	52933	16260
765	53002	16191
766	53066	16120
767	53116	16045
768	53174	15973
769	53259	15908
770	53345	15844
771	53411	15774
772	53479	15704
773	53553	15636
774	53624	15568
775	53677	15494
776	53739	15423
777	53799	15351
778	53857	15279
779	53921	15208
780	53989	15139
781	54052	15068
782	54115	14997
783	54171	14924
784	54227	14852
785	54282	14779
786	54349	14709
787	54398	14635
788	54478	14569
789	54584	14509
790	54679	14447
791	54750	14378
792	54826	14311
793	54889	14240
794	54982	14177
795	55049	14108
796	55108	14036
797	55165	13964
798	55214	13890
799	55271	13817
800	55331	13746
801	55391	13675
802	55486	13612
803	55570	13546
804	55642	13478
805	55703	13407
806	55769	13337
807	55819	13263
808	55872	13191
809	55921	13117
810	55993	13049
811	56065	12980
812	56124	12909
813	56185	12838
814	56248	12768
815	56311	12697
816	56367	12625
817	56421	12553
818	56504	12487
819	56561	12415
820	56613	12343
821	56684	12274
822	56737	12202
823	56795	12131
824	56845	12058
825	56922	11990
826	56994	11922
827	57048	11850
828	57099	11778
829	57153	11706
830	57213	11635
831	57277	11565
832	57336	11494
833	57397	11424
834	57471	11356
835	57544	11288
836	57600	11217
837	57654	11145
838	57714	11075
839	57801	11009
840	57864	10939
841	57929	10870
842	57992	10800
843	58045	10728
844	58101	10657
845	58153	10585
846	58215	10515
847	58289	10448
848	58352	10378
849	58406	10306
850	58477	10238
851	58547	10170
852	58600	10098
853	58657	10028
854	58724	9959
855	58782	9888
856	58833	9817
857	58886	9745
858	58958	9677
859	59026	9608
860	59086	9538
861	59140	9468
862	59203	9398
863	59259	9327
864	59312	9256
865	59362	9185
866	59422	9115
867	59490	9046
868	59541	8975
869	59597	8905
870	59653	8835
871	59705	8764
872	59760	8693
873	59824	8624
874	59882	8554
875	59952	8486
876	60061	8423
877	60130	8355
878	60185	8284
879	60246	8215
880	60299	8144
881	60358	8075
882	60426	8006
883	60505	7939
884	60560	7869
885	60619	7799
886	60687	7731
887	60752	7662
888	60825	7594
